"activity_names" "subject_code" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"LAYING" 10 0.253808780479798 -0.0220517028331818 -0.112355707133333 -0.952855306449495 -0.921731752853535 -0.922707752582828 -0.34394300769697 0.855516589459596 0.360640824389899 -0.928036345909091 -0.957151193474747 -0.931820292883838 0.0856714571515152 0.00582188049090909 0.00110595666984596 -0.972218711363636 -0.947864036565657 -0.971681861010101 -0.0162267933593939 -0.0794023242727273 0.158907225247475 -0.946167768439394 -0.963878538636364 -0.94230719459596 -0.105065765634343 -0.0408992009654545 -0.0712186248939394 -0.95768005010101 -0.975308056818182 -0.972561468787879 -0.925677858040404 -0.903037319005051 -0.925677858040404 -0.903037319005051 -0.967714395353535 -0.958407508484849 -0.920487634090909 -0.913339230444444 -0.974303163585859 -0.964972363030303 -0.956511287929293 -0.928417447318182 -0.942789318383838 -0.95173193845101 -0.923398155358586 -0.918484362181818 -0.971723131919192 -0.948223283383838 -0.967479756111111 -0.975448796969697 -0.951399731565657 -0.974596657020202 -0.934173147673232 -0.963988805858586 -0.941422193030303 -0.950431546414141 -0.964306642929293 -0.948012094292929 -0.924702119050505 -0.907957102676768 -0.959261651060606 -0.956524391868687 -0.931964805353535 -0.916808613707071 -0.967285532727273 -0.964413561010101
"LAYING" 12 0.267284987678125 -0.0173746471045312 -0.106396359756563 -0.9548163185125 -0.94404190528125 -0.93791292448125 -0.275209191971875 0.6944371336875 0.459395248009375 -0.933588217846875 -0.97000114275 -0.9486444097875 0.0851788871096875 0.0123981049762813 -0.0101625671413125 -0.97909234753125 -0.9714644809375 -0.97447343578125 -0.00888718373084375 -0.0940762119728125 0.139072507865625 -0.96449732409375 -0.95602380290625 -0.9589432681875 -0.104056396231875 -0.0388858688718406 -0.0649062269090625 -0.97258515071875 -0.97812652728125 -0.98412620446875 -0.94518467834375 -0.9243721167 -0.94518467834375 -0.9243721167 -0.9776044004375 -0.96998435753125 -0.93099728184375 -0.930617896 -0.98154769396875 -0.97274452709375 -0.96266276021875 -0.9530527615625 -0.95192111396875 -0.952382833446875 -0.942938099478125 -0.93524595595625 -0.9789617060625 -0.971691021125 -0.97096630559375 -0.98123376625 -0.9733829075625 -0.97663505034375 -0.958601039 -0.96080017909375 -0.959215671125 -0.96664760546875 -0.95416330615625 -0.96267656090625 -0.94173362881875 -0.92749515394 -0.97013096884375 -0.96887752121875 -0.94719345065625 -0.93246295375 -0.97430506703125 -0.972552505
"LAYING" 13 0.273332994577982 -0.0172655815533945 -0.106823670553517 -0.965482137889908 -0.957321002140673 -0.961879573455657 -0.332244729807339 0.523195048195719 0.765555230519878 -0.955177271651376 -0.976943593027523 -0.965655959174312 0.0785084359911315 0.0114545709446483 -0.00521013624265138 -0.98448420529052 -0.976403316146789 -0.985762004556575 -0.0246165931267535 -0.101557181388379 0.107200612394495 -0.977543441865443 -0.964842693363914 -0.977400359082569 -0.0989574777082569 -0.036249478077156 -0.060489955648318 -0.982116508685015 -0.985123132140673 -0.989396322874618 -0.958746751406728 -0.952211265749235 -0.958746751406728 -0.952211265749235 -0.984287751926605 -0.981502359449541 -0.952701276605505 -0.955145583577982 -0.987146367828746 -0.983480247767584 -0.973396416055046 -0.963722184495413 -0.971309853547401 -0.962952025382263 -0.956354687094801 -0.959186869174312 -0.984265911284404 -0.976655797492355 -0.983630419602447 -0.986201527278287 -0.977860160183486 -0.986482953119266 -0.973963157798165 -0.972194235474006 -0.977826201712538 -0.978856736697248 -0.961586692721713 -0.979330208165138 -0.962869197492355 -0.953466848042814 -0.981312084281346 -0.980608334036697 -0.96647183559633 -0.955727339051988 -0.984398447675841 -0.983180052110092
"LAYING" 18 0.26917043119478 -0.0185901654926374 -0.105300674524725 -0.952282180192308 -0.90741362742033 -0.919402666162088 -0.50064911989011 0.558463379598901 0.651681840376374 -0.925778386648352 -0.911873961236539 -0.90350049768956 0.0822102803923077 0.0141521429276648 -0.00889075071926923 -0.980536149258242 -0.97200067260989 -0.979247484697802 -0.0126749276913736 -0.0925656581480769 0.129813431173077 -0.958175845467033 -0.962819173736264 -0.954376255989011 -0.1012975395 -0.0384515838025 -0.0645155885395604 -0.97618630043956 -0.981336534752747 -0.985393430659341 -0.882215134931319 -0.891791771381868 -0.882215134931319 -0.891791771381868 -0.978636767582418 -0.975810085494506 -0.91902925543956 -0.931621048928571 -0.982468263434066 -0.978908389368132 -0.961271445741758 -0.930412865752747 -0.942459693791209 -0.949266051648352 -0.902869835208791 -0.914469277595879 -0.980256895576923 -0.972019300631868 -0.976288851016484 -0.982713112857143 -0.974121770082418 -0.980851552774725 -0.955524270054945 -0.968314299752747 -0.958819759505494 -0.95947715728022 -0.960330206813187 -0.957408465659341 -0.924006559434066 -0.894037629645604 -0.975690659230769 -0.975047765027472 -0.952117700302198 -0.931402070989011 -0.979677297912088 -0.979169470659341
"LAYING" 20 0.276273518980226 -0.0176306785689266 -0.107985221793785 -0.967273855762712 -0.956614897655367 -0.968572200508475 -0.431537443531073 0.587255305084746 0.572031415903955 -0.955136002909605 -0.981812750084746 -0.980988842316384 0.0805187016559322 0.0101653666379463 -0.000673670488830508 -0.98014540940678 -0.971803978022599 -0.980167928474576 -0.019604422130226 -0.0982855003424859 0.121027977350565 -0.973823327175141 -0.965440702655367 -0.965820803813559 -0.102787725542373 -0.03591614645 -0.0633929143935028 -0.979127484011299 -0.983101143785311 -0.985398286892655 -0.964360537937853 -0.953661650861582 -0.964360537937853 -0.953661650861582 -0.979560568135593 -0.974106151694915 -0.946567626129944 -0.946771617909605 -0.985020263531074 -0.979401254519774 -0.970253379350282 -0.961578224463277 -0.971737337542373 -0.966322228418079 -0.956419042824859 -0.968640826214689 -0.980089209350283 -0.972185211355932 -0.977473082711864 -0.982090707768362 -0.973481963644068 -0.981519124661017 -0.969481991299435 -0.970257873898305 -0.965800974350283 -0.97536270940678 -0.963316051299435 -0.968969415677966 -0.960087380847458 -0.956950382038701 -0.974361288022599 -0.972824230960452 -0.959514209096045 -0.947908998615819 -0.980789072542373 -0.978932557740113
"LAYING" 24 0.26590256187664 -0.018450429160315 -0.107805900854593 -0.968734134304462 -0.964822756299213 -0.966264300314961 -0.339184395559055 0.61897005 0.450523400272966 -0.955038528451444 -0.980535391863517 -0.972316118270341 0.0808155181845144 0.0107700017584777 -0.00324389114671654 -0.982258297375328 -0.97704572480315 -0.981911516850394 -0.0179894820991811 -0.0894178685091863 0.114444326238845 -0.977523245931758 -0.96570825175853 -0.973017925931759 -0.100537730031496 -0.039767156232021 -0.0618052173671916 -0.980692122729659 -0.977872939160105 -0.986569224619423 -0.96523799480315 -0.955215486299213 -0.96523799480315 -0.955215486299213 -0.982390136089239 -0.97843641351706 -0.952753128083989 -0.953491134671916 -0.982416769475066 -0.975958369055118 -0.97209505992126 -0.968496523018373 -0.971966722309711 -0.967599727244094 -0.964898050706037 -0.965283049745407 -0.982192316325459 -0.977284518818898 -0.979597577191601 -0.984021550866142 -0.978474349343832 -0.982804170577428 -0.972952236246719 -0.968001242703412 -0.972101848635171 -0.979164935958005 -0.9648724135958 -0.975848172204724 -0.96263103087664 -0.957822217228346 -0.978213542913386 -0.97763727832021 -0.961498601338583 -0.956545193937008 -0.976823994750656 -0.976309073412074
"SITTING" 22 0.242342180227273 0.0132365563772727 -0.0943327063636364 -0.959629945454545 -0.879783732272727 -0.898875892727273 0.802928254090909 0.209667421318182 0.374029643636364 -0.948631901818182 -0.900913834545454 -0.928240733181818 0.0793007578181818 -0.00501619103181818 -0.014424139265 -0.978172786363636 -0.973103490909091 -0.983705426363636 -0.0462552407318182 -0.101404469454545 0.0572219305 -0.961727141363636 -0.939561843181818 -0.911155598636364 -0.0941759187272727 -0.0391798274090909 -0.0409566351909091 -0.985795467727273 -0.982588027727273 -0.980014114545455 -0.914361208636364 -0.875659035909091 -0.914361208636364 -0.875659035909091 -0.981273058181818 -0.974350466363636 -0.907487578181818 -0.896177262727273 -0.986527035909091 -0.979469504090909 -0.965152032727273 -0.914555174545454 -0.933091534090909 -0.957685802272727 -0.871514185454545 -0.889943316363636 -0.978539543636364 -0.973628692727273 -0.981902926363636 -0.979761675454546 -0.974399657272727 -0.984002519090909 -0.962352196363636 -0.958977198181818 -0.927448652272727 -0.962242865909091 -0.930959496818182 -0.914669734090909 -0.913645255 -0.877415187727273 -0.977121507272727 -0.969981513636364 -0.936895387272727 -0.891341615454545 -0.982327090909091 -0.977330229545455
"SITTING" 23 0.274021777553763 -0.0106752246809409 -0.108415182829839 -0.978492508064516 -0.91102006152957 -0.92009492763172 0.902386113494624 0.118222883928199 0.125492131483925 -0.974732761155914 -0.942402677258065 -0.932715725295699 0.0742222090207796 0.000213283230844086 0.00170365967444624 -0.979172791854839 -0.963700293306452 -0.975646544462366 -0.0437794256190591 -0.075416342036371 0.0753643463399462 -0.970464471612903 -0.959075320645161 -0.945223532822581 -0.094219781966129 -0.0396611235253763 -0.0497848648208333 -0.976794260241935 -0.980934333521505 -0.976401876182796 -0.939555669623656 -0.918425983193548 -0.939555669623656 -0.918425983193548 -0.975197979784946 -0.969735786532258 -0.931356259650538 -0.935715862198925 -0.981664133494624 -0.977184691532258 -0.977346187930108 -0.928628099596774 -0.942634507688172 -0.97912999110215 -0.908179312493011 -0.914892146387097 -0.979621645322581 -0.964387628494624 -0.972328340188172 -0.980622676505376 -0.96560042561828 -0.977616761478495 -0.964691035107527 -0.964636738064516 -0.948090476774194 -0.972610007043011 -0.95654454311828 -0.949576627768817 -0.935017955349462 -0.922767637946237 -0.969667229301075 -0.96891296405914 -0.951871590672043 -0.937086315182796 -0.978399709919355 -0.977024102016129
"SITTING" 25 0.276225947154034 -0.0133843668943765 -0.107366847249389 -0.986046152518337 -0.948903009744083 -0.949308184547677 0.853805366943765 0.113154502814181 0.110128814797457 -0.98154167589242 -0.964844213488998 -0.95317395895599 0.0762864923865526 0.00601071664599315 -0.00401348560476284 -0.988960661491443 -0.979109155158924 -0.985749374205379 -0.0321849951992812 -0.0658814621168704 0.0870630964949389 -0.985986890929095 -0.968520418190709 -0.967001365134474 -0.0978095789119804 -0.0413079152116968 -0.0537569229183374 -0.99039182205379 -0.989167923789731 -0.987456117701711 -0.963484977041565 -0.950900140073839 -0.963484977041565 -0.950900140073839 -0.986655918630807 -0.983900843545232 -0.954116693276284 -0.956747193814181 -0.991200304254279 -0.987921813154034 -0.986318531246944 -0.957911828743276 -0.964808137237164 -0.986024798704156 -0.947394367154034 -0.944973557457213 -0.988944279119804 -0.978849472127139 -0.983313733080685 -0.99000796396088 -0.981053966185819 -0.986824340880196 -0.983373514180929 -0.974400993202934 -0.968521577701712 -0.986886813814181 -0.965718543471883 -0.969624131418093 -0.961975012904645 -0.952697989332518 -0.983671149070905 -0.983084046136919 -0.968678572860636 -0.956891856699267 -0.988565239388753 -0.987690720611247
"SITTING" 26 0.272423459803571 -0.0139947553839796 -0.105718180646429 -0.986071145816326 -0.946335157982143 -0.94483014222449 0.866486385867347 0.132236348359694 0.204594430667168 -0.981698195688775 -0.964986902329082 -0.951961734132653 0.0765461473391071 0.00769112039769133 -0.00261232339614796 -0.987226319438775 -0.978497067321428 -0.984144204897959 -0.0382919407780612 -0.0761216415188776 0.0776423178841837 -0.985602533392857 -0.969011263647959 -0.96578368244898 -0.095771044747449 -0.0407546350604592 -0.0516806931213724 -0.990067994209184 -0.988045030994898 -0.986901451989796 -0.960588676632653 -0.946899842821429 -0.960588676632653 -0.946899842821429 -0.985107966683674 -0.982223239056123 -0.954987966479592 -0.958743196403061 -0.990009870765306 -0.987408064617347 -0.985611601377551 -0.956793034489796 -0.962191241658163 -0.986414023341837 -0.944344326709184 -0.940083755346939 -0.987319079285714 -0.978603928673469 -0.981624875153061 -0.988313946989796 -0.980000586454082 -0.98528664252551 -0.982883929719388 -0.974717742984694 -0.967873122168367 -0.986523726964286 -0.966334657168367 -0.968358695459184 -0.958393389413265 -0.949136254089286 -0.981851755382653 -0.981611940459184 -0.969464027729592 -0.959238184770408 -0.98795707119898 -0.987291636403061
